ts,host,user,event,attempts,severity,ip,file,proc,dst,message,geo,notes,source,hour,day_of_week,month,is_weekend,is_off_hours,message_length,has_ip,has_error,has_attempts,is_suspicious,is_high_risk
2026-07-31T05:16:51Z,OPS-64-dr.core.banking,svc_deploy,New-InboxRule,0.0,LOW,36.49.128.252,,chrome.exe,WEB-90-dr.financial.local:8443,New-InboxRule: svc_deploy performed audit operation,Singapore,COMPLIANCE_BASELINE_ALIQ,office365,5,4,7,0,1,51,0,0,0,0,0
2026-07-10T06:39:58Z,TRADING-99-uat,svc_scanner_prod53,PROCTITLE,0.0,MEDIUM,88.218.68.31,,OUTLOOK.EXE,CRM-51.core.banking:3306,PROCTITLE: svc_scanner_prod53 performed payment operation,,COMPLIANCE_BASELINE_PHON,auditd,6,4,7,0,1,57,0,0,0,0,0
2026-08-12T14:42:30Z,PROXY-99-prod.bank.internal,bjohnson,302015,0.0,MEDIUM,158.58.247.24,,powershell.exe,,302015: bjohnson performed balance operation,Toronto,COMPLIANCE_BASELINE_SOUR,cisco_asa,14,2,8,0,0,44,0,0,0,0,0
2026-09-04T22:43:51Z,COMP-02.core.banking,mtyler,Prevention,0.0,LOW,87.22.201.128,,java.exe,CRM-99:5432,Prevention: mtyler performed transfer operation,CH,COMPLIANCE_BASELINE_EVER,crowdstrike,22,4,9,0,1,47,0,0,0,0,0
2027-01-20T22:28:06Z,AUDIT-59.financial.local,nicole_hart1,106001,0.0,LOW,40.34.188.141,\\fileserver\share\Molestias\thus.avi,java.exe,,106001: nicole_hart1 performed payment operation,"Sydney, AU",COMPLIANCE_BASELINE_NULL,cisco_asa,22,2,1,0,1,48,0,0,0,0,0
2026-05-24T21:34:18Z,CORE_BANK-10-prod,daniel_williams,CreateUser,0.0,HIGH,96.122.209.12,,EXCEL.EXE,,CreateUser: daniel_williams performed reconciliation operation,,SEC_SUSPICIOUS_URGENT_QUIB,aws_cloudtrail,21,6,5,1,1,62,0,0,0,1,1
2026-05-10T10:27:53Z,,chatura_sem,Send,0.0,CRITICAL,10.69.163.81,C:\Windows\Temp\person.js,svchost.exe,,Send: chatura_sem performed settlement operation,JP,AUDIT_HIGH_RISK_URGENT_ITAQ,office365,10,6,5,1,0,48,0,0,0,1,1
2026-10-08T14:24:44Z,CRM-04-prod,luke.das,workflow_run,0.0,LOW,222.242.174.75,,docker_v1.3,,workflow_run: luke.das performed swift operation,,AUDIT_BASELINE_WORK,github_actions,14,3,10,0,0,48,0,0,0,0,0
2026-10-10T06:19:02Z,APP-22.bank.internal,tracey_romero,4688,0.0,LOW,219.75.153.249,Z:\Finance\2026-02-09\debitis.jpg,systemd,CORE-92:8443,"A new process was created. Process: systemd, Command line: ps aux | grep -v grep",Sydney,AUDIT_BASELINE_ASPE,windows_security,6,5,10,1,1,80,0,0,0,0,0
18/1/2020,PAYMENT-26,austin_sehgal,106023,0.0,LOW,10.148.53.120,C:\Windows\System32\alias.wav,sqlservr.exe,,106023: austin_sehgal performed transfer operation,CH,SEC_BASELINE_ET,cisco_asa,0,0,0,0,1,50,0,0,0,0,0
2026-11-05T08:13:30Z,ATM-63,ychada,Blocked,0.0,LOW,192.168.130.110,,cmd.exe,,Blocked: ychada performed audit operation,"Mumbai, IN",GT_BASELINE_GOAL,sentinel_one,8,3,11,0,0,41,0,0,0,0,0
2027-01-08T03:22:28Z,DB-99,msaunders,Audit,0.0,CRITICAL,192.168.226.24,,svchost.exe,,Audit log: delete performed by msaunders,,COMPLIANCE_HIGH_RISK_URGENT_ACCU,azure_ad,3,4,1,0,1,40,0,0,0,1,1
2026-10-17T00:36:54Z,ATM-23-prod,svc_scanner_prod,302015,0.0,MEDIUM,157.28.144.208,C:\Users\jswamy\Documents\aspernatur.wav,WINWORD.EXE_v8.2,,302015: svc_scanner_prod performed audit operation,,ANOMALY_BASELINE_DIST,cisco_asa,0,5,10,1,1,50,0,0,0,0,0
